year,Electronic,R&B;,Vocal,Pop/Rock,Religious,Blues,Country,Jazz,Latin,New Age,Folk,International,Reggae,Comedy/Spoken,Easy Listening,Classical,Avant-Garde,Stage & Screen,Children's
1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1925,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1926,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1927,0,2,5,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0
1928,0,0,1,0,0,4,0,4,0,0,0,0,0,0,0,3,1,0,0
1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1930,0,0,28,8,0,20,1,2,0,0,0,9,0,0,0,0,0,0,0
1931,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,1,0,0,0
1932,0,1,4,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0
1933,0,0,255,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1934,0,0,23,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
1935,0,0,65,0,0,0,1,1,0,0,0,0,0,0,0,19,0,1,0
1936,0,1,84,0,0,1,31,17,0,0,0,0,15,0,0,8,2,1,0
1937,0,0,109,0,0,3,6,52,0,0,0,6,0,0,0,1,0,0,0
1938,0,0,31,1,0,0,12,12,0,0,0,0,0,0,0,115,0,0,0
1939,0,0,70,0,0,26,0,31,1,0,0,2,0,0,0,0,0,7,0
1940,1,0,25,0,0,0,0,9,0,0,0,5,35,0,0,6,0,0,0
1941,0,2,57,2,0,25,1,3,26,16,0,7,0,0,0,9,35,17,0
1942,0,1,30,81,1,0,0,28,0,0,0,17,26,0,3,73,0,2,0
1943,0,0,20,0,0,0,0,0,0,0,3,6,0,2,0,0,0,36,0
1944,0,0,41,0,0,16,0,25,1,0,0,15,0,0,3,8,0,0,0
1945,0,0,74,2,0,76,1,51,0,0,0,12,0,0,2,22,0,4,0
1946,0,0,44,0,0,0,7,27,32,0,0,9,0,0,2,20,0,23,0
1947,0,2,18,3,0,17,30,8,4,0,0,12,8,1,8,159,0,43,0
1948,0,0,98,0,0,0,0,9,37,0,0,32,0,0,0,118,6,0,0
1949,11,2,139,3,0,16,25,56,23,0,15,89,0,0,4,46,0,32,0
1950,9,9,81,0,0,0,39,45,13,0,0,54,0,0,8,133,0,6,0
1951,0,7,94,2,12,5,85,115,26,0,11,80,0,0,2,48,0,0,0
1952,1,13,93,0,0,6,65,126,12,0,25,91,9,0,16,65,0,5,0
1953,0,4,122,0,0,5,11,184,3,0,13,92,0,4,14,162,0,7,0
1954,0,12,198,2,0,2,31,324,7,0,56,41,0,0,55,78,4,24,0
1955,0,5,308,4,0,6,42,482,55,0,35,34,7,1,23,159,9,0,0
1956,0,44,408,35,15,34,94,471,34,0,37,22,0,12,43,114,26,31,0
1957,0,70,408,85,0,55,102,606,46,0,12,23,1,0,42,164,8,12,0
1958,0,97,417,144,14,47,85,303,75,0,40,15,0,0,124,117,1,0,0
1959,0,132,357,153,0,25,109,480,36,0,44,8,7,45,63,32,27,36,0
1960,0,142,235,214,3,103,143,307,41,0,57,36,0,18,47,63,27,39,7
1961,0,158,224,234,2,35,104,401,39,0,34,16,0,11,55,83,1,5,12
1962,0,201,289,261,6,47,105,357,45,0,61,27,0,11,92,51,8,6,11
1963,2,145,175,443,3,11,186,305,41,0,50,10,5,14,49,30,2,1,1
1964,0,209,223,425,0,14,137,244,48,1,80,22,17,19,34,59,3,12,0
1965,0,192,146,633,0,25,113,129,54,0,137,12,38,20,33,3,2,24,0
1966,0,178,142,821,0,69,106,92,29,0,55,9,11,4,17,7,2,36,2
1967,0,160,115,956,0,50,99,73,138,0,68,8,45,0,11,11,2,26,1
1968,3,241,86,888,2,51,163,112,58,0,43,15,31,7,13,6,1,2,0
1969,0,181,65,1142,0,56,86,60,37,0,59,28,36,0,2,2,10,3,0
1970,5,209,23,1206,0,13,87,41,47,0,47,13,16,0,3,5,0,12,0
1971,0,286,36,1122,0,52,98,46,51,0,55,14,9,0,2,7,0,1,0
1972,3,349,27,964,4,19,91,42,80,1,37,25,2,1,1,1,1,0,6
1973,2,248,21,1129,0,19,116,57,61,3,17,10,77,1,1,10,0,5,0
1974,12,220,27,1120,0,19,131,85,25,0,29,19,12,0,1,11,0,6,0
1975,17,249,16,990,3,3,205,62,59,1,36,10,39,11,1,3,0,0,0
1976,4,240,29,986,0,15,153,76,29,2,21,11,97,1,1,29,0,15,0
1977,15,176,18,1198,1,17,91,63,35,3,31,22,75,0,3,6,0,1,0
1978,9,193,35,1030,5,14,145,50,78,1,7,16,71,8,3,3,4,0,0
1979,19,177,25,1152,2,6,107,39,38,1,10,19,24,10,6,6,1,28,1
1980,3,185,30,1100,1,7,128,39,81,10,9,14,38,2,1,5,4,18,0
1981,16,136,26,1095,0,10,137,55,43,16,4,27,18,0,0,54,1,10,0
1982,0,189,10,1080,9,13,115,35,53,13,1,35,49,14,3,10,5,8,0
1983,9,133,18,1168,7,5,71,22,58,2,4,28,40,16,0,5,0,22,0
1984,0,118,24,1038,3,4,78,17,156,11,1,25,65,6,0,23,11,6,0
1985,4,150,11,1045,9,3,110,35,73,2,5,17,11,8,0,8,0,14,0
1986,10,155,18,1018,5,16,87,60,89,10,0,24,13,18,0,1,9,20,0
1987,6,144,38,1021,9,5,165,51,68,17,6,30,6,0,7,9,0,24,0
1988,2,99,32,997,10,0,92,46,123,16,3,3,18,2,2,13,0,11,0
1989,12,112,21,946,30,31,117,44,88,0,16,30,2,1,1,8,0,5,0
1990,18,115,25,836,16,9,108,20,148,1,10,29,16,4,0,16,0,26,0
1991,15,178,26,784,29,12,140,40,145,33,11,8,27,0,1,13,1,14,0
1992,28,147,25,767,10,7,112,33,139,3,4,14,17,0,1,7,0,34,0
1993,29,172,31,707,18,9,122,21,128,13,2,21,31,5,1,4,0,7,0
1994,32,157,11,810,6,15,124,24,107,15,7,12,9,2,0,10,0,11,1
1995,22,155,14,720,14,2,146,26,119,13,1,11,16,0,0,13,2,27,0
1996,59,189,28,687,14,4,134,19,89,4,12,6,18,2,1,2,0,1,0
1997,45,192,18,680,10,13,92,28,92,3,4,8,13,12,0,9,5,21,2
1998,67,149,19,626,17,5,128,15,113,2,15,13,6,2,1,5,7,12,0
1999,32,154,18,719,14,6,111,33,111,3,4,2,16,1,1,5,0,6,0
2000,35,203,10,747,22,6,115,11,45,14,4,9,21,0,0,6,3,14,6
2001,56,187,10,708,22,4,73,16,103,6,6,8,22,1,0,3,1,29,0
2002,34,137,12,797,18,2,122,18,78,2,1,4,49,1,1,7,1,19,0
2003,16,166,19,850,31,3,86,10,75,1,10,2,16,4,0,7,1,53,3
2004,19,149,17,776,12,3,174,13,71,1,5,3,10,2,0,7,0,26,0
2005,25,182,17,714,31,6,111,9,78,10,7,10,30,1,1,2,1,12,0
2006,43,141,7,784,30,2,132,14,104,1,5,3,16,1,2,7,1,23,1
2007,34,155,13,791,11,3,116,9,63,5,6,5,16,1,0,1,0,12,0
2008,34,169,9,754,27,1,122,9,38,6,0,4,14,5,0,0,0,7,0
2009,28,105,11,661,24,4,125,10,63,4,1,24,11,9,1,0,2,8,0
2010,50,99,3,607,24,0,164,2,77,1,0,1,5,0,0,3,0,6,0
2011,62,119,6,556,36,2,108,6,39,1,6,1,9,7,0,0,1,5,2
2012,38,135,1,639,20,0,67,3,54,0,1,1,9,0,2,0,2,7,0
2013,45,84,22,603,29,0,97,1,26,1,0,3,4,0,8,1,0,23,0
2014,38,118,2,472,15,0,111,3,37,0,1,0,5,0,2,4,0,7,0
2015,57,134,7,435,14,0,66,3,28,1,0,0,3,0,0,1,0,0,0
2016,41,126,1,335,9,0,58,0,23,1,0,1,3,1,0,0,1,0,0
2017,39,86,0,303,13,0,53,0,31,0,0,1,2,0,0,1,0,0,0
2018,36,75,0,234,6,0,57,1,28,0,0,0,3,0,0,1,0,0,0
2019,30,80,3,256,4,0,62,1,52,0,0,0,2,0,0,0,0,0,0
2020,50,103,0,207,8,0,28,0,74,0,0,0,2,0,0,0,0,0,0
